=== TOKENS ENCONTRADOS ===

Token                     Lexema               Linea
-----                     ------               -----
PALABRA_MAIN              __main__             1
SEPARADOR                 ~                    1
INICIO_PARENTESIS         <|                   1
FIN_PARENTESIS            |>                   1
INICIO_BLOQUE             |:                   1
INT                       int                  2
SEPARADOR                 ~                    2
IDENTIFICADOR             numero               2
ASIGNACION                <-                   2
NUMERO_ENTERO             5                    2
DELIMITADOR_EXP           !                    2
STRING                    string               3
SEPARADOR                 ~                    3
IDENTIFICADOR             texto                3
ASIGNACION                <-                   3
CADENA                    Hola                 3
DELIMITADOR_EXP           !                    3
IDENTIFICADOR             numero               6
ASIGNACION                <-                   6
CADENA                    Hola                 6
DELIMITADOR_EXP           !                    6
IDENTIFICADOR             texto                9
ASIGNACION                <-                   9
CADENA                    Hola                 9
DELIMITADOR_EXP           !                    9
FIN_BLOQUE                :|                   10

=== FIN DEL ANALISIS ===
